ranking,World Rank,University,Det.,Impact Rank*,Openness Rank*,Excellence Rank*
1,537,Universitas Indonesia,,264,690,1085
2,667,Universitas Gadjah Mada,,387,714,1301
3,752,Institut Teknologi Bandung / Bandung Institute of Technology,,475,959,1374
4,780,Universitas Brawijaya,,206,849,2083
5,830,Universitas Airlangga,,822,957,1232
6,892,IPB University / Bogor Agricultural University,,452,737,1929
7,1026,Universitas Sebelas Maret UNS Surakarta,,486,907,2238
8,1090,Universitas Diponegoro,,622,839,2241
9,1114,Institut Teknologi Sepuluh Nopember,,841,1123,1903
10,1126,Universitas Pendidikan Indonesia,,431,833,2634
11,1199,Universitas Hasanuddin,,1019,1217,1946
12,1225,Telkom University / Universitas Telkom,,598,1441,2509
13,1366,Universitas Syiah Kuala,,1393,1512,2013
14,1499,Universitas Sumatera Utara,,1196,1213,2582
15,1530,Universitas Bina Nusantara,,1837,2150,1935
16,1758,Universitas Andalas,,1067,1470,3214
17,1762,Universitas Padjadjaran Bandung,,506,8370,1815
18,1834,Universitas Jenderal Soedirman,,514,1600,4096
19,1848,Universitas Negeri Semarang,,985,1032,3646
20,1873,Universitas Muhammadiyah Yogyakarta,,1360,1689,3117
21,1901,Universitas Sriwijaya,,1442,1361,3230
22,2129,Universitas Islam Negeri UIN Sunan Gunung Djati Bandung,,1120,1284,4013
23,2265,Universitas Muhammadiyah Malang,,1357,1593,3942
24,2340,Universitas Negeri Surabaya,,1861,1216,3841
25,2431,Politeknik Elektronika Negeri Surabaya,,714,2888,4613
26,2460,Universitas Negeri Malang,,883,8370,2617
27,2491,Universitas Sam Ratulangi,,2463,1149,3841
28,2628,Universitas Sultan Ageng Tirtayasa,,2024,1688,4157
29,2668,Universitas Muhammadiyah Surakarta,,2161,1351,4252
30,2686,Universitas Lampung,,539,8370,3551
31,2719,Universitas Mataram,,1854,1423,4472
32,2753,Universitas Negeri Yogyakarta,,1121,8370,2888
33,2916,Universitas Halu Oleo Kendari,,2391,1851,4436
34,2989,Universitas Riau,,594,8370,4046
35,3060,Universitas Gunadarma,,1330,2319,5143
36,3067,Universitas Nahdlatul Ulama Surabaya,,2411,2898,4472
37,3139,Universitas Ahmad Dahlan Yogyakarta,,1494,8370,3258
